"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 29 15:25:47 ART 2020","Tue Dec 29 15:25:47 ART 2020","0","","Google Homepage Search: User can search by using the suggestions - Error","","Google Homepage Search: User can search by using the suggestions - Error","When I click on the first result link","When I click on the first result link",""
"passed","Tue Dec 29 15:25:50 ART 2020","Tue Dec 29 15:25:50 ART 2020","13","","Google Homepage Search: User can search with ""Google Search""","","Google Homepage Search: User can search with ""Google Search""","Then I go to the search results page","Then I go to the search results page",""
"passed","Tue Dec 29 15:25:57 ART 2020","Tue Dec 29 15:25:58 ART 2020","808","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","Given I am on the homepage","Given I am on the homepage",""
"passed","Tue Dec 29 15:26:08 ART 2020","Tue Dec 29 15:26:08 ART 2020","63","","Google Homepage Search: User can search The Books - Patrick Rothfuss with Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with Google Search","Then I go to the ""Patrick Rothfuss - The Books"" page","Then I go to the ""Patrick Rothfuss - The Books"" page",""
"passed","Tue Dec 29 15:25:54 ART 2020","Tue Dec 29 15:25:55 ART 2020","1190","","Google Homepage Search: User can search by using the suggestions","","Google Homepage Search: User can search by using the suggestions","And I click on the first suggestion in the list","And I click on the first suggestion in the list",""
"passed","Tue Dec 29 15:25:53 ART 2020","Tue Dec 29 15:25:53 ART 2020","712","","Google Homepage Search: User can search by using the suggestions","","Google Homepage Search: User can search by using the suggestions","Given I am on the homepage","Given I am on the homepage",""
"passed","Tue Dec 29 15:25:58 ART 2020","Tue Dec 29 15:25:58 ART 2020","292","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","When I type ""The name of the w"" into the search field","When I type ""The name of the w"" into the search field",""
"passed","Tue Dec 29 15:26:00 ART 2020","Tue Dec 29 15:26:03 ART 2020","2914","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","When I click on ""The Books - Patrick Rothfuss"" page","When I click on ""The Books - Patrick Rothfuss"" page",""
"passed","Tue Dec 29 15:25:50 ART 2020","Tue Dec 29 15:25:51 ART 2020","802","","Google Homepage Search: User can search with ""Google Search""","","Google Homepage Search: User can search with ""Google Search""","And the first result is ""The Name of the Wind - Wikipedia""","And the first result is ""The Name of the Wind - Wikipedia""",""
"passed","Tue Dec 29 15:25:58 ART 2020","Tue Dec 29 15:25:58 ART 2020","225","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with suggestions in Google Search","And the suggestions list is displayed","And the suggestions list is displayed",""
"passed","Tue Dec 29 15:25:44 ART 2020","Tue Dec 29 15:25:46 ART 2020","1478","","Google Homepage Search: User can search by using the suggestions - Error","","Google Homepage Search: User can search by using the suggestions - Error","And I click on the first suggestion in the list","And I click on the first suggestion in the list",""
"passed","Tue Dec 29 15:25:54 ART 2020","Tue Dec 29 15:25:54 ART 2020","219","","Google Homepage Search: User can search by using the suggestions","","Google Homepage Search: User can search by using the suggestions","And the suggestions list is displayed","And the suggestions list is displayed",""
"passed","Tue Dec 29 15:26:03 ART 2020","Tue Dec 29 15:26:04 ART 2020","693","","Google Homepage Search: User can search The Books - Patrick Rothfuss with Google Search","","Google Homepage Search: User can search The Books - Patrick Rothfuss with Google Search","Given I am on the homepage","Given I am on the homepage",""
"passed","Tue Dec 29 15:25:51 ART 2020","Tue Dec 29 15:25:53 ART 2020","1990","","Google Homepage Search: User can search with ""Google Search""","","Google Homepage Search: User can search with ""Google Search""","When I click on the first result link","When I click on the first result link",""
"passed","Tue Dec 29 15:25:47 ART 2020","Tue Dec 29 15:25:48 ART 2020","956","","Google Homepage Search: User can search with ""Google Search""","","Google Homepage Search: User can search with ""Google Search""","Given I am on the homepage","Given I am on the homepage",""
"passed","Tue Dec 29 15:25:47 ART 2020","Tue Dec 29 15:25:47 ART 2020","1","","Google Homepage Search: User can search by using the suggestions - Error","","Google Homepage Search: User can search by using the suggestions - Error","Hook","Hook",""
"passed","Tue Dec 29 15:25:42 ART 2020","Tue Dec 29 15:25:42 ART 2020","1","","Google Homepage Search: User can search with Google Search - Error","","Google Homepage Search: User can search with Google Search - Error","Hook","Hook",""
